Timestamp,Keystroke,CPU Usage (%),Memory Usage (%),Label
1742721516.243367,h,0.0,73.9,1
1742721516.436842,i,5.2,73.8,1
1742721516.982514,h,7.1,74.0,1
1742721517.067796,a,6.0,74.0,1
1742721517.121978,l,7.0,74.0,1
1742721517.162414,Key.shift,12.5,74.0,1
1742721517.174103,K,0.0,74.0,1
1742721517.402451,k,5.2,74.6,1
1742721517.434473,l,15.4,74.6,1
1742721517.5544362,n,3.2,74.6,1
1742721517.599637,s,10.5,74.6,1
1742721517.686763,k,0.0,74.6,1
1742721517.8196962,n,0.0,74.6,1
1742721517.8747652,z,0.0,74.6,1
1742721517.9506571,l,0.0,74.6,1
1742721518.0904908,h,0.0,74.6,1
1742721518.1828108,j,0.0,74.6,1
1742721518.278537,s,0.0,74.6,1
1742721518.2984252,h,0.0,74.6,1
1742721518.31939,z,0.0,74.6,1
1742721518.426749,l,6.7,74.6,1
1742721518.618699,Key.shift,6.4,74.6,1
1742721518.634777,H,0.0,74.6,1
1742721518.73047,L,0.0,74.6,1
1742721518.766519,D,0.0,74.8,1
1742721518.878613,B,0.0,74.8,1
1742721519.493408,1,5.4,74.8,1
1742721519.565808,6,5.3,74.8,1
1742721519.5869818,2,6.2,74.8,1
1742721519.68539,4,10.3,74.8,1
1742721519.717537,5,7.7,74.8,1
1742721519.853387,7,5.6,74.8,1
1742721519.885371,2,11.5,74.7,1
1742721519.925479,8,12.5,74.7,1
1742721519.957555,1,22.2,74.7,1
1742721520.017011,6,17.0,74.6,1
1742721520.053522,4,0.0,74.6,1
1742721520.1731489,3,0.0,74.6,1
1742721520.197202,7,0.0,74.6,1
1742721520.2651389,2,0.0,74.6,1
1742721520.341125,6,0.0,74.6,1
1742721520.393934,9,0.0,74.6,1
1742721520.437153,1,0.0,74.6,1
1742721520.565259,7,18.5,77.8,1
1742721520.5659142,8,0.0,77.8,1
1742721520.7009,0,16.2,77.5,1
1742721520.800318,7,17.9,77.8,1
1742721520.8531709,4,25.0,77.5,1
1742721521.709554,Key.shift,6.8,77.5,1
1742721521.834003,@,9.9,77.5,1
1742721522.26041,k,0.0,77.8,1
1742721522.368459,x,0.0,77.6,1
1742721522.372264,n,0.0,77.6,1
1742721522.4681711,l,0.0,77.6,1
1742721522.544308,f,0.0,77.6,1
1742721522.6643572,b,0.0,77.6,1
1742721522.665117,n,0.0,77.6,1
1742721522.728527,s,8.7,77.6,1
1742721522.780685,;,7.5,77.6,1
1742721522.802923,k,19.0,77.6,1
1742721522.9204328,b,5.6,77.8,1
1742721522.952978,;,10.7,77.8,1
1742721523.008446,f,4.8,77.8,1
1742721523.526727,Key.down,8.0,77.8,1
1742721523.527444,Key.up,100.0,77.8,1
1742721523.817695,z,4.7,74.4,1
1742721524.075397,Key.right,4.4,74.4,1
1742721524.239256,Key.down,5.4,74.4,1
1742721524.250912,Key.left,20.0,74.4,1
1742721524.2542322,f,25.0,74.4,1
1742721524.415221,Key.up,6.3,75.1,1
1742721524.4514618,n,0.0,75.0,1
1742721524.519192,Key.down,0.0,75.0,1
1742721524.667308,Key.right,0.0,75.0,1
1742721524.78361,c,0.0,75.0,1
1742721525.011636,Key.left,6.5,75.2,1
1742721537.472526,h,14.5,78.3,1
1742721537.640692,i,14.2,78.2,1
1742721537.664345,s,28.6,78.3,1
1742721537.836677,h,9.5,78.5,1
1742721537.940568,v,8.6,78.4,1
1742721538.008559,i,16.4,78.5,1
1742721538.1605508,h,9.8,78.4,1
1742721538.3508322,i,7.9,77.9,1
1742721538.4059231,e,16.3,76.9,1
1742721538.4302342,s,0.0,76.9,1
1742721538.521405,h,21.3,76.9,1
1742721538.6384032,l,10.9,76.9,1
1742721539.4108632,Key.space,10.9,76.8,1
1742721539.677375,h,10.8,76.9,1
1742721539.947979,o,13.5,77.8,1
1742721540.2041,w,15.8,77.8,1
1742721540.4370592,Key.space,0.0,77.8,1
1742721540.627789,a,0.0,77.8,1
1742721540.833312,r,14.7,79.2,1
1742721540.948691,e,29.5,79.0,1
1742721541.177044,Key.space,21.1,79.2,1
1742721541.512383,y,19.2,79.5,1
1742721542.1279428,o,13.1,77.7,1
1742721542.3046248,u,12.6,77.8,1
1742721542.453404,u,7.8,78.0,1
1742721542.517934,s,18.5,77.8,1
1742721542.597692,h,0.0,77.8,1
1742721542.766732,j,0.0,77.9,1
1742721542.964962,s,0.0,78.3,1
1742721542.9875488,n,0.0,78.4,1
1742721543.068327,l,0.0,78.4,1
1742721543.088553,g,0.0,78.4,1
1742721543.184608,n,17.0,78.5,1
1742721543.188189,b,25.0,78.5,1
1742721543.268664,a,22.1,78.5,1
1742721543.5959911,Key.space,9.7,78.5,1
1742721544.094798,1,10.6,78.5,1
1742721544.2955918,4,9.4,75.3,1
1742721544.429966,2,12.8,75.0,1
1742721544.7097962,7,9.4,75.0,1
1742721544.8828769,2,10.3,75.0,1
1742721544.889914,5,0.0,75.0,1
1742721545.007588,4,0.0,75.0,1
1742721545.019423,6,0.0,75.0,1
1742721545.213508,2,0.0,75.0,1
1742721545.2885718,4,0.0,75.0,1
1742721545.296454,7,14.9,75.0,1
1742721545.4129448,6,16.8,75.0,1
1742721545.540725,2,15.0,75.0,1
1742721545.541028,3,0.0,75.0,1
1742721545.5750852,7,29.6,75.1,1
1742721545.632489,4,30.4,75.1,1
1742721545.692748,8,0.0,75.1,1
1742721545.733015,6,0.0,75.1,1
1742721545.856438,3,0.0,75.1,1
1742721545.8887832,8,0.0,75.1,1
1742721546.00135,7,0.0,75.1,1
1742721546.052681,6,0.0,75.1,1
1742721546.088498,2,0.0,75.1,1
1742721546.1895978,8,0.0,75.1,1
1742721546.324955,6,20.0,75.6,1
1742721552.481505,Key.ctrl,16.5,79.9,1
1742721552.629686,c,9.4,79.9,1
